locus_tag	ftype	gene	EC_number	product
GCA_001683595_00045	CDS			hypothetical protein
GCA_001683595_00046	CDS			hypothetical protein
GCA_001683595_00047	CDS			hypothetical protein
GCA_001683595_00048	CDS			hypothetical protein
GCA_001683595_00049	CDS			hypothetical protein
GCA_001683595_00050	CDS			hypothetical protein
GCA_001683595_00051	CDS			hypothetical protein
GCA_001683595_00052	CDS			hypothetical protein
GCA_001683595_00053	CDS			hypothetical protein
GCA_001683595_00054	CDS			hypothetical protein
GCA_001683595_00055	CDS			hypothetical protein
GCA_001683595_00056	CDS	repE		Replication initiation protein
GCA_001683595_00057	CDS			hypothetical protein
GCA_001683595_00058	CDS	dnaT_1		Primosomal protein 1
GCA_001683595_00059	CDS	relE	3.1.-.-	mRNA interferase RelE
GCA_001683595_00060	CDS			hypothetical protein
GCA_001683595_00061	CDS	cnl		Lysis protein for colicin N
GCA_001683595_00062	CDS	rop		Regulatory protein rop
GCA_001683595_00063	CDS	mbeC		Mobilization protein MbeC
GCA_001683595_00064	CDS			hypothetical protein
GCA_001683595_00065	CDS			hypothetical protein
GCA_001683595_00066	CDS			hypothetical protein
GCA_001683595_00067	CDS			hypothetical protein
GCA_001683595_00068	CDS	cba		Colicin-B
GCA_001683595_00069	tRNA			tRNA-Asp(gtc)
GCA_001683595_00070	tRNA			tRNA-Trp(cca)
GCA_001683595_00071	CDS	gltR_1		HTH-type transcriptional regulator GltR
GCA_001683595_00072	CDS			hypothetical protein
GCA_001683595_00073	CDS	comM		Competence protein ComM
GCA_001683595_00074	CDS	ilvG	2.2.1.6	Acetolactate synthase isozyme 2 large subunit
GCA_001683595_00075	CDS	ilvM	2.2.1.6	Acetolactate synthase isozyme 2 small subunit
GCA_001683595_00076	CDS	ilvE	2.6.1.42	Branched-chain-amino-acid aminotransferase
GCA_001683595_00077	CDS	ilvD	4.2.1.9	Dihydroxy-acid dehydratase
GCA_001683595_00078	CDS	ilvA	4.3.1.19	L-threonine dehydratase biosynthetic IlvA
GCA_001683595_00079	CDS	gltC_1		HTH-type transcriptional regulator GltC
GCA_001683595_00080	CDS	ilvC	1.1.1.86	Ketol-acid reductoisomerase (NADP(+))
GCA_001683595_00081	CDS	ppiC	5.2.1.8	Peptidyl-prolyl cis-trans isomerase C
GCA_001683595_00082	CDS	rep	3.6.4.12	ATP-dependent DNA helicase Rep
GCA_001683595_00083	CDS	gppA	3.6.1.40	Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase
GCA_001683595_00084	CDS	rhlB	3.6.4.13	ATP-dependent RNA helicase RhlB
GCA_001683595_00085	CDS	trxA_1		Thioredoxin 1
GCA_001683595_00086	CDS	rho	3.6.4.-	Transcription termination factor Rho
GCA_001683595_00087	CDS	wecA	2.7.8.33	Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase
GCA_001683595_00088	CDS	wzzE		ECA polysaccharide chain length modulation protein
GCA_001683595_00089	CDS	wecB	5.1.3.14	UDP-N-acetylglucosamine 2-epimerase
GCA_001683595_00090	CDS	wecC	1.1.1.336	UDP-N-acetyl-D-mannosamine dehydrogenase
GCA_001683595_00091	CDS	rffG	4.2.1.46	dTDP-glucose 4,6-dehydratase 2
GCA_001683595_00092	CDS	rffH	2.7.7.24	Glucose-1-phosphate thymidylyltransferase 2
GCA_001683595_00093	CDS	wecD	2.3.1.210	dTDP-fucosamine acetyltransferase
GCA_001683595_00094	CDS	wecE	2.6.1.59	dTDP-4-amino-4,6-dideoxygalactose transaminase
GCA_001683595_00095	CDS	wzxE_1		Lipid III flippase
GCA_001683595_00096	CDS	wecF	2.4.1.325	TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase
GCA_001683595_00097	CDS	wzyE		putative ECA polymerase
GCA_001683595_00098	CDS	wecG	2.4.1.180	UDP-N-acetyl-D-mannosaminuronic acid transferase
GCA_001683595_00099	CDS	yifK		putative transport protein YifK
GCA_001683595_00100	tRNA			tRNA-Arg(ccg)
GCA_001683595_00101	tRNA			tRNA-His(gtg)
GCA_001683595_00102	tRNA			tRNA-Leu(cag)
GCA_001683595_00103	tRNA			tRNA-Pro(tgg)
GCA_001683595_00104	CDS	chuR_1	1.1.99.-	Anaerobic sulfatase-maturating enzyme
GCA_001683595_00105	CDS	atsA_1	3.1.6.1	Arylsulfatase
GCA_001683595_00106	CDS			hypothetical protein
GCA_001683595_00107	CDS	bepA_1	3.4.-.-	Beta-barrel assembly-enhancing protease
GCA_001683595_00108	CDS	hemX	2.1.1.107	Putative uroporphyrinogen-III C-methyltransferase
GCA_001683595_00109	CDS	hemD	4.2.1.75	Uroporphyrinogen-III synthase
GCA_001683595_00110	CDS	hemC	2.5.1.61	Porphobilinogen deaminase
GCA_001683595_00111	CDS	cyaA	4.6.1.1	Adenylate cyclase
GCA_001683595_00112	CDS	cyaY		Protein CyaY
GCA_001683595_00113	CDS			hypothetical protein
GCA_001683595_00114	CDS			hypothetical protein
GCA_001683595_00115	CDS			hypothetical protein
GCA_001683595_00116	CDS	dapF	5.1.1.7	Diaminopimelate epimerase
GCA_001683595_00117	CDS			hypothetical protein
GCA_001683595_00118	CDS	xerC_1		Tyrosine recombinase XerC
GCA_001683595_00119	CDS	yigB	3.1.3.-	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB
GCA_001683595_00120	CDS	uvrD	3.6.4.12	DNA helicase II
GCA_001683595_00121	CDS	salL	2.5.1.94	Adenosyl-chloride synthase
GCA_001683595_00122	CDS			hypothetical protein
GCA_001683595_00123	CDS	corA		Magnesium transport protein CorA
GCA_001683595_00124	CDS			hypothetical protein
GCA_001683595_00125	CDS			hypothetical protein
GCA_001683595_00126	CDS			hypothetical protein
GCA_001683595_00127	CDS			hypothetical protein
GCA_001683595_00128	CDS	pldA	3.1.1.32	Phospholipase A1
GCA_001683595_00129	CDS	recQ	3.6.4.12	ATP-dependent DNA helicase RecQ
GCA_001683595_00130	CDS	rhtC_1		Threonine efflux protein
GCA_001683595_00131	CDS	rhtB		Homoserine/homoserine lactone efflux protein
GCA_001683595_00132	CDS	pldB	3.1.1.5	Lysophospholipase L2
GCA_001683595_00133	CDS	yigL	3.1.3.74	Pyridoxal phosphate phosphatase YigL
GCA_001683595_00134	CDS			hypothetical protein
GCA_001683595_00135	CDS	metR		HTH-type transcriptional regulator MetR
GCA_001683595_00136	CDS	metE	2.1.1.14	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
GCA_001683595_00137	CDS			hypothetical protein
GCA_001683595_00138	CDS			hypothetical protein
GCA_001683595_00139	CDS	hcpA_1		Major exported protein
GCA_001683595_00140	CDS	hxlB	5.3.1.27	3-hexulose-6-phosphate isomerase
GCA_001683595_00141	CDS	ptsG_1	2.7.1.199	PTS system glucose-specific EIICBA component
GCA_001683595_00142	CDS	tktA_1	2.2.1.1	Transketolase 1
GCA_001683595_00143	CDS	ybbH_1		putative HTH-type transcriptional regulator YbbH
GCA_001683595_00144	CDS	yahB_1		putative HTH-type transcriptional regulator YahB
GCA_001683595_00145	CDS	codB_1		Cytosine permease
GCA_001683595_00146	CDS	atzF	3.5.1.54	Allophanate hydrolase
GCA_001683595_00147	CDS	arcC1_1	2.7.2.2	Carbamate kinase 1
GCA_001683595_00148	CDS			hypothetical protein
GCA_001683595_00149	CDS	sucD_1	6.2.1.5	Succinate--CoA ligase [ADP-forming] subunit alpha
GCA_001683595_00150	CDS			hypothetical protein
GCA_001683595_00151	CDS	rutB_1	3.5.1.110	Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
GCA_001683595_00152	CDS			hypothetical protein
GCA_001683595_00153	CDS	clcD_1	3.1.1.45	Carboxymethylenebutenolidase
GCA_001683595_00154	CDS	udp	2.4.2.3	Uridine phosphorylase
GCA_001683595_00155	CDS			hypothetical protein
GCA_001683595_00156	CDS			hypothetical protein
GCA_001683595_00157	CDS			hypothetical protein
GCA_001683595_00158	CDS	dgoA_1	4.1.2.21	2-dehydro-3-deoxy-6-phosphogalactonate aldolase
GCA_001683595_00159	CDS	dgoK1_1	2.7.1.58	putative 2-dehydro-3-deoxygalactonokinase DgoK1
GCA_001683595_00160	CDS	kdgR_1		Transcriptional regulator KdgR
GCA_001683595_00161	CDS			hypothetical protein
GCA_001683595_00162	CDS	ubiE_1	2.1.1.163	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
GCA_001683595_00163	CDS			hypothetical protein
GCA_001683595_00164	CDS	ubiB	2.7.-.-	putative protein kinase UbiB
GCA_001683595_00165	CDS	tatA		Sec-independent protein translocase protein TatA
GCA_001683595_00166	CDS	tatB		Sec-independent protein translocase protein TatB
GCA_001683595_00167	CDS	tatC		Sec-independent protein translocase protein TatC
GCA_001683595_00168	CDS	tatD	3.1.11.-	3'-5' ssDNA/RNA exonuclease TatD
GCA_001683595_00169	CDS	rfaH		Transcription antitermination protein RfaH
GCA_001683595_00170	CDS	ubiD	4.1.1.98	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
GCA_001683595_00171	CDS	fre	1.16.1.3	NAD(P)H-flavin reductase
GCA_001683595_00172	CDS	fadA	2.3.1.16	3-ketoacyl-CoA thiolase
GCA_001683595_00173	CDS	fadB		Fatty acid oxidation complex subunit alpha
GCA_001683595_00174	CDS	pepQ	3.4.13.9	Xaa-Pro dipeptidase
GCA_001683595_00175	CDS	yigZ		IMPACT family member YigZ
GCA_001683595_00176	CDS	trkH		Trk system potassium uptake protein TrkH
GCA_001683595_00177	CDS	hemG	1.3.5.3	Protoporphyrinogen IX dehydrogenase [menaquinone]
GCA_001683595_00178	CDS			hypothetical protein
GCA_001683595_00179	CDS			hypothetical protein
GCA_001683595_00180	CDS			hypothetical protein
GCA_001683595_00181	CDS			hypothetical protein
GCA_001683595_00182	CDS			hypothetical protein
GCA_001683595_00183	CDS			hypothetical protein
GCA_001683595_00184	CDS			hypothetical protein
GCA_001683595_00185	CDS			hypothetical protein
GCA_001683595_00186	CDS			hypothetical protein
GCA_001683595_00187	CDS	deoR_1		Deoxyribose operon repressor
GCA_001683595_00188	CDS	rbsK_1	2.7.1.15	Ribokinase
GCA_001683595_00189	CDS	fucP_1		L-fucose-proton symporter
GCA_001683595_00190	CDS			hypothetical protein
GCA_001683595_00191	CDS			hypothetical protein
GCA_001683595_00192	CDS	ulaA_1		Ascorbate-specific PTS system EIIC component
GCA_001683595_00193	CDS	ulaB_1	2.7.1.194	Ascorbate-specific PTS system EIIB component
GCA_001683595_00194	CDS	ulaC_1	2.7.1.194	Ascorbate-specific PTS system EIIA component
GCA_001683595_00195	CDS	gntR_1		HTH-type transcriptional regulator GntR
GCA_001683595_00196	CDS	fabF_1	2.3.1.179	3-oxoacyl-[acyl-carrier-protein] synthase 2
GCA_001683595_00197	CDS	fabG_1	1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase FabG
GCA_001683595_00198	CDS			hypothetical protein
GCA_001683595_00199	CDS	fabF_2	2.3.1.179	3-oxoacyl-[acyl-carrier-protein] synthase 2
GCA_001683595_00200	CDS			hypothetical protein
GCA_001683595_00201	CDS			hypothetical protein
GCA_001683595_00202	CDS	lolA_1		Outer-membrane lipoprotein carrier protein
GCA_001683595_00203	CDS		3.1.-.-	Putative esterase
GCA_001683595_00204	CDS		2.4.1.54	Undecaprenyl-phosphate mannosyltransferase
GCA_001683595_00205	CDS			hypothetical protein
GCA_001683595_00206	CDS	aas_1	6.2.1.20	Bifunctional protein Aas
GCA_001683595_00207	CDS			hypothetical protein
GCA_001683595_00208	CDS	acpP_1		Acyl carrier protein
GCA_001683595_00209	CDS			hypothetical protein
GCA_001683595_00210	CDS			hypothetical protein
GCA_001683595_00211	CDS			hypothetical protein
GCA_001683595_00212	CDS	sfmM2	2.1.1.304	L-tyrosine C(3)-methyltransferase
GCA_001683595_00213	CDS			hypothetical protein
GCA_001683595_00214	CDS	shlB_1		Hemolysin transporter protein ShlB
GCA_001683595_00215	CDS	cdiA_1	3.1.-.-	tRNA nuclease CdiA
GCA_001683595_00216	CDS			hypothetical protein
GCA_001683595_00217	CDS			hypothetical protein
GCA_001683595_00218	CDS			hypothetical protein
GCA_001683595_00219	CDS	afr_1	1.1.1.292	1,5-anhydro-D-fructose reductase
GCA_001683595_00220	CDS	yjhB_1		Putative metabolite transport protein YjhB
GCA_001683595_00221	CDS	cdiA_2		Toxin CdiA
GCA_001683595_00222	CDS			hypothetical protein
GCA_001683595_00223	CDS			hypothetical protein
GCA_001683595_00224	CDS			hypothetical protein
GCA_001683595_00225	CDS	cdiA_3	3.1.-.-	16S rRNA endonuclease CdiA
GCA_001683595_00226	CDS			hypothetical protein
GCA_001683595_00227	CDS			hypothetical protein
GCA_001683595_00228	CDS			hypothetical protein
GCA_001683595_00229	CDS	pgtP		Phosphoglycerate transporter protein
GCA_001683595_00230	CDS	pgtC		Phosphoglycerate transport regulatory protein PgtC
GCA_001683595_00231	CDS	pgtB	2.7.13.3	Phosphoglycerate transport system sensor protein PgtB
GCA_001683595_00232	CDS	dctD_1		C4-dicarboxylate transport transcriptional regulatory protein DctD
GCA_001683595_00233	CDS			hypothetical protein
GCA_001683595_00234	CDS	btuF_1		Vitamin B12-binding protein
GCA_001683595_00235	CDS	hmuU_1		Hemin transport system permease protein HmuU
GCA_001683595_00236	CDS	yusV_1		putative siderophore transport system ATP-binding protein YusV
GCA_001683595_00237	CDS			hypothetical protein
GCA_001683595_00238	CDS			hypothetical protein
GCA_001683595_00239	CDS			hypothetical protein
GCA_001683595_00240	CDS			hypothetical protein
GCA_001683595_00241	CDS	pic_1	3.4.21.-	Serine protease pic autotransporter
GCA_001683595_00242	CDS	pic_2	3.4.21.-	Serine protease pic autotransporter
GCA_001683595_00243	CDS	pic_3	3.4.21.-	Serine protease pic autotransporter
GCA_001683595_00244	CDS	papB_1		Major pilu subunit operon regulatory protein PapB
GCA_001683595_00245	CDS	caiE		Carnitine operon protein CaiE
GCA_001683595_00246	CDS			hypothetical protein
GCA_001683595_00247	CDS	aroE	1.1.1.25	Shikimate dehydrogenase (NADP(+))
GCA_001683595_00248	CDS	tsaC	2.7.7.87	Threonylcarbamoyl-AMP synthase
GCA_001683595_00249	CDS	topA_1	5.99.1.2	DNA topoisomerase 1
GCA_001683595_00250	CDS	smg		Protein Smg
GCA_001683595_00251	CDS	dprA		DNA processing protein DprA
GCA_001683595_00252	CDS	def	3.5.1.88	Peptide deformylase
GCA_001683595_00253	CDS	fmt	2.1.2.9	Methionyl-tRNA formyltransferase
GCA_001683595_00254	CDS	rsmB	2.1.1.176	Ribosomal RNA small subunit methyltransferase B
GCA_001683595_00255	CDS	trkA		Trk system potassium uptake protein TrkA
GCA_001683595_00256	CDS	mscL		Large-conductance mechanosensitive channel
GCA_001683595_00257	CDS	arfA		Alternative ribosome-rescue factor A
GCA_001683595_00258	CDS	zntR		HTH-type transcriptional regulator ZntR
GCA_001683595_00259	CDS			hypothetical protein
GCA_001683595_00260	CDS	rplQ		50S ribosomal protein L17
GCA_001683595_00261	CDS	rpoA	2.7.7.6	DNA-directed RNA polymerase subunit alpha
GCA_001683595_00262	CDS	rpsD		30S ribosomal protein S4
GCA_001683595_00263	CDS	rpsK		30S ribosomal protein S11
GCA_001683595_00264	CDS	rpsM		30S ribosomal protein S13
GCA_001683595_00265	CDS	rpmJ		50S ribosomal protein L36
GCA_001683595_00266	CDS	secY		Protein translocase subunit SecY
GCA_001683595_00267	CDS	rplO		50S ribosomal protein L15
GCA_001683595_00268	CDS	rpmD		50S ribosomal protein L30
GCA_001683595_00269	CDS	rpsE		30S ribosomal protein S5
GCA_001683595_00270	CDS	rplR		50S ribosomal protein L18
GCA_001683595_00271	CDS	rplF		50S ribosomal protein L6
GCA_001683595_00272	CDS	rpsH		30S ribosomal protein S8
GCA_001683595_00273	CDS	rpsN		30S ribosomal protein S14
GCA_001683595_00274	CDS	rplE		50S ribosomal protein L5
GCA_001683595_00275	CDS	rplX		50S ribosomal protein L24
GCA_001683595_00276	CDS	rplN		50S ribosomal protein L14
GCA_001683595_00277	CDS	rpsQ		30S ribosomal protein S17
GCA_001683595_00278	CDS	rpmC		50S ribosomal protein L29
GCA_001683595_00279	CDS	rplP		50S ribosomal protein L16
GCA_001683595_00280	CDS	rpsC		30S ribosomal protein S3
GCA_001683595_00281	CDS	rplV		50S ribosomal protein L22
GCA_001683595_00282	CDS	rpsS		30S ribosomal protein S19
GCA_001683595_00283	CDS	rplB		50S ribosomal protein L2
GCA_001683595_00284	CDS	rplW		50S ribosomal protein L23
GCA_001683595_00285	CDS	rplD		50S ribosomal protein L4
GCA_001683595_00286	CDS	rplC		50S ribosomal protein L3
GCA_001683595_00287	CDS	rpsJ		30S ribosomal protein S10
GCA_001683595_00288	CDS	gspB		Putative general secretion pathway protein B
GCA_001683595_00289	CDS	gspA_1		Putative general secretion pathway protein A
GCA_001683595_00290	CDS	gspC		Putative type II secretion system protein C
GCA_001683595_00291	CDS	gspD		Putative type II secretion system protein D
GCA_001683595_00292	CDS	gspE		Putative type II secretion system protein E
GCA_001683595_00293	CDS	gspF		Putative type II secretion system protein F
GCA_001683595_00294	CDS	gspG		Putative type II secretion system protein G
GCA_001683595_00295	CDS	gspH		Putative type II secretion system protein H
GCA_001683595_00296	CDS	gspI		Putative type II secretion system protein I
GCA_001683595_00297	CDS	gspJ		Putative type II secretion system protein J
GCA_001683595_00298	CDS	gspK_1		Putative type II secretion system protein K
GCA_001683595_00299	CDS	gspL		Putative type II secretion system protein L
GCA_001683595_00300	CDS	gspM		Putative type II secretion system protein M
GCA_001683595_00301	CDS	gspO		Type 4 prepilin-like proteins leader peptide-processing enzyme
GCA_001683595_00302	CDS	bfr	1.16.3.1	Bacterioferritin
GCA_001683595_00303	CDS	bfd		Bacterioferritin-associated ferredoxin
GCA_001683595_00304	CDS	chiA		putative bifunctional chitinase/lysozyme
GCA_001683595_00305	CDS	tufA		Elongation factor Tu 1
GCA_001683595_00306	CDS	gadB	4.1.1.15	Glutamate decarboxylase beta
GCA_001683595_00307	CDS	gadC		putative glutamate/gamma-aminobutyrate antiporter
GCA_001683595_00308	CDS			hypothetical protein
GCA_001683595_00309	CDS	dosP	3.1.4.52	Oxygen sensor protein DosP
GCA_001683595_00310	CDS	osmC	1.11.1.15	Peroxiredoxin OsmC
GCA_001683595_00311	CDS			hypothetical protein
GCA_001683595_00312	CDS	sra		Stationary-phase-induced ribosome-associated protein
GCA_001683595_00313	CDS	maeA	1.1.1.38	NAD-dependent malic enzyme
GCA_001683595_00314	CDS	adhP	1.1.1.1	Alcohol dehydrogenase, propanol-preferring
GCA_001683595_00315	CDS			hypothetical protein
GCA_001683595_00316	CDS	higB	3.1.-.-	Endoribonuclease HigB
GCA_001683595_00317	CDS	yddM		putative HTH-type transcriptional regulator YddM
GCA_001683595_00318	CDS	fdnI		Formate dehydrogenase, nitrate-inducible, cytochrome b556(Fdn) subunit
GCA_001683595_00319	CDS	fdnH_1		Formate dehydrogenase, nitrate-inducible, iron-sulfur subunit
GCA_001683595_00320	CDS	fdnG_1	1.1.5.6	Formate dehydrogenase, nitrate-inducible, major subunit
GCA_001683595_00321	CDS	fdnG_2	1.1.5.6	Formate dehydrogenase, nitrate-inducible, major subunit
GCA_001683595_00322	CDS	yddG		Aromatic amino acid exporter YddG
GCA_001683595_00323	CDS	narU		Nitrate/nitrite transporter NarU
GCA_001683595_00324	CDS	narZ	1.7.99.4	Respiratory nitrate reductase 2 alpha chain
GCA_001683595_00325	CDS	narY	1.7.99.4	Respiratory nitrate reductase 2 beta chain
GCA_001683595_00326	CDS	narW		putative nitrate reductase molybdenum cofactor assembly chaperone NarW
GCA_001683595_00327	CDS	narV	1.7.99.4	Respiratory nitrate reductase 2 gamma chain
GCA_001683595_00328	CDS	yddE	5.1.-.-	putative isomerase YddE
GCA_001683595_00329	CDS	nhoA	2.3.1.118	N-hydroxyarylamine O-acetyltransferase
GCA_001683595_00330	CDS	flr		Flavoredoxin
GCA_001683595_00331	CDS			hypothetical protein
GCA_001683595_00332	CDS			hypothetical protein
GCA_001683595_00333	CDS			hypothetical protein
GCA_001683595_00334	CDS	vgrG1_1	6.3.2.-	Actin cross-linking toxin VgrG1
GCA_001683595_00335	tRNA			tRNA-Asp(gtc)
GCA_001683595_00336	CDS	dkgB_1	1.1.1.346	2,5-diketo-D-gluconic acid reductase B
GCA_001683595_00337	CDS	dmlR_1		HTH-type transcriptional regulator DmlR
GCA_001683595_00338	CDS			hypothetical protein
GCA_001683595_00339	CDS	ycgJ	2.1.1.-	putative methyltransferase YcgJ
GCA_001683595_00340	CDS	mltD	4.2.2.-	Membrane-bound lytic murein transglycosylase D
GCA_001683595_00341	CDS	gloB	3.1.2.6	Hydroxyacylglutathione hydrolase GloB
GCA_001683595_00342	CDS	ubiE_2	2.1.1.163	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
GCA_001683595_00343	CDS	rnhA	3.1.26.4	Ribonuclease HI
GCA_001683595_00344	CDS	dnaQ	2.7.7.7	DNA polymerase III subunit epsilon
GCA_001683595_00345	tRNA			tRNA-Asp(gtc)
GCA_001683595_00346	CDS			hypothetical protein
GCA_001683595_00347	CDS	hcpA_2		Major exported protein
GCA_001683595_00348	CDS			hypothetical protein
GCA_001683595_00349	CDS			hypothetical protein
GCA_001683595_00350	CDS			hypothetical protein
GCA_001683595_00351	CDS			hypothetical protein
GCA_001683595_00352	CDS	clpB_1		Chaperone protein ClpB
GCA_001683595_00353	CDS			hypothetical protein
GCA_001683595_00354	CDS			hypothetical protein
GCA_001683595_00355	CDS			hypothetical protein
GCA_001683595_00356	CDS			hypothetical protein
GCA_001683595_00357	CDS			hypothetical protein
GCA_001683595_00358	CDS			hypothetical protein
GCA_001683595_00359	CDS			hypothetical protein
GCA_001683595_00360	CDS			hypothetical protein
GCA_001683595_00361	CDS			hypothetical protein
GCA_001683595_00362	CDS	hcpA_3		Major exported protein
GCA_001683595_00363	CDS			hypothetical protein
GCA_001683595_00364	CDS	purH		Bifunctional purine biosynthesis protein PurH
GCA_001683595_00365	CDS	purD	6.3.4.13	Phosphoribosylamine--glycine ligase
GCA_001683595_00366	CDS	zraR_1		Transcriptional regulatory protein ZraR
GCA_001683595_00367	CDS	zraS_1	2.7.13.3	Sensor protein ZraS
GCA_001683595_00368	CDS			hypothetical protein
GCA_001683595_00369	CDS	zraP		Zinc resistance-associated protein
GCA_001683595_00370	CDS			hypothetical protein
GCA_001683595_00371	CDS	hupA		DNA-binding protein HU-alpha
GCA_001683595_00372	CDS			hypothetical protein
GCA_001683595_00373	CDS	nfi	3.1.21.7	Endonuclease V
GCA_001683595_00374	CDS	hemE	4.1.1.37	Uroporphyrinogen decarboxylase
GCA_001683595_00375	CDS	nudC	3.6.1.22	NADH pyrophosphatase
GCA_001683595_00376	CDS	rsd		Regulator of sigma D
GCA_001683595_00377	CDS	thiC	4.1.99.17	Phosphomethylpyrimidine synthase
GCA_001683595_00378	CDS	thiE	2.5.1.3	Thiamine-phosphate synthase
GCA_001683595_00379	CDS	thiF	2.7.7.73	Sulfur carrier protein ThiS adenylyltransferase
GCA_001683595_00380	CDS	thiS		Sulfur carrier protein ThiS
GCA_001683595_00381	CDS	thiG	2.8.1.10	Thiazole synthase
GCA_001683595_00382	CDS	thiH	4.1.99.19	2-iminoacetate synthase
GCA_001683595_00383	CDS	rpoC	2.7.7.6	DNA-directed RNA polymerase subunit beta'
GCA_001683595_00384	CDS	rpoB	2.7.7.6	DNA-directed RNA polymerase subunit beta
GCA_001683595_00385	CDS	rplL		50S ribosomal protein L7/L12
GCA_001683595_00386	CDS	rplJ		50S ribosomal protein L10
GCA_001683595_00387	CDS	rplA		50S ribosomal protein L1
GCA_001683595_00388	CDS	rplK		50S ribosomal protein L11
GCA_001683595_00389	CDS	nusG		Transcription termination/antitermination protein NusG
GCA_001683595_00390	CDS	secE		Protein translocase subunit SecE
GCA_001683595_00391	CDS	tufB		Elongation factor Tu 2
GCA_001683595_00392	CDS			hypothetical protein
GCA_001683595_00393	CDS			hypothetical protein
GCA_001683595_00394	CDS			hypothetical protein
GCA_001683595_00395	CDS			hypothetical protein
GCA_001683595_00396	CDS			hypothetical protein
GCA_001683595_00397	CDS			hypothetical protein
GCA_001683595_00398	CDS			hypothetical protein
GCA_001683595_00399	CDS	pgrR_1		HTH-type transcriptional regulator PgrR
GCA_001683595_00400	CDS	yhfK	4.-.-.-	putative sugar epimerase YhfK
GCA_001683595_00401	CDS			hypothetical protein
GCA_001683595_00402	CDS	fimA_1		Type-1 fimbrial protein, A chain
GCA_001683595_00403	CDS	focC_1		Chaperone protein FocC
GCA_001683595_00404	CDS	fimD_1		Outer membrane usher protein FimD
GCA_001683595_00405	CDS	sfaG_1		S-fimbrial protein subunit SfaG
GCA_001683595_00406	CDS	sfaS_1		S-fimbrial adhesin protein SfaS
GCA_001683595_00407	CDS	sfaH_1		S-fimbrial protein subunit SfaH
GCA_001683595_00408	CDS		1.-.-.-	putative oxidoreductase
GCA_001683595_00409	CDS	safA		Two-component-system connector protein SafA
GCA_001683595_00410	CDS	ydeO		HTH-type transcriptional regulator YdeO
GCA_001683595_00411	CDS	betC_1	3.1.6.6	Choline-sulfatase
GCA_001683595_00412	CDS	chuR_2	1.1.99.-	Anaerobic sulfatase-maturating enzyme
GCA_001683595_00413	CDS	yddA		Inner membrane ABC transporter ATP-binding protein YddA
GCA_001683595_00414	CDS			hypothetical protein
GCA_001683595_00415	CDS		3.4.24.-	putative zinc protease
